"07995: Døde. Foreløpige tall, etter kjønn, alder, uke, statistikkvariabel og år"

"kjønn";"alder";"uke";"Døde 2018";"Døde 2019";"Døde 2020";"Døde 2021";"Døde 2022"
"Begge kjønn";"83 år";"Uke 4";28;28;25;31;26
"Begge kjønn";"83 år";"Uke 5";34;33;19;25;24
"Begge kjønn";"83 år";"Uke 6";22;32;17;28;27
"Begge kjønn";"83 år";"Uke 7";21;29;22;25;29
"Begge kjønn";"83 år";"Uke 8";30;24;19;19;38
"Begge kjønn";"83 år";"Uke 9";27;21;33;26;38
"Begge kjønn";"83 år";"Uke 10";25;37;25;18;26
"Begge kjønn";"83 år";"Uke 11";27;23;35;28;28
"Begge kjønn";"83 år";"Uke 12";24;27;29;18;31
"Begge kjønn";"83 år";"Uke 13";27;32;24;27;22
"Begge kjønn";"83 år";"Uke 14";28;32;18;23;29
"Begge kjønn";"83 år";"Uke 15";29;21;31;30;31
"Begge kjønn";"83 år";"Uke 16";27;24;20;19;30
"Begge kjønn";"83 år";"Uke 17";18;24;28;24;34
"Begge kjønn";"83 år";"Uke 18";19;21;16;23;24
"Begge kjønn";"83 år";"Uke 19";28;21;41;21;32
"Begge kjønn";"83 år";"Uke 20";28;23;24;24;31
"Begge kjønn";"83 år";"Uke 21";16;18;23;15;22
"Begge kjønn";"83 år";"Uke 22";21;31;14;27;.
"Begge kjønn";"83 år";"Uke 23";27;23;24;21;.
"Begge kjønn";"83 år";"Uke 24";15;28;19;17;.
"Begge kjønn";"83 år";"Uke 25";19;30;20;15;.
"Begge kjønn";"83 år";"Uke 26";18;30;21;15;.
"Begge kjønn";"83 år";"Uke 27";25;20;15;26;.
"Begge kjønn";"83 år";"Uke 28";19;28;17;21;.
"Begge kjønn";"83 år";"Uke 29";27;21;25;26;.
"Begge kjønn";"83 år";"Uke 30";23;16;30;22;.
"Begge kjønn";"83 år";"Uke 31";23;21;15;17;.
"Begge kjønn";"83 år";"Uke 32";19;27;23;22;.
"Begge kjønn";"83 år";"Uke 33";23;19;21;27;.
"Begge kjønn";"83 år";"Uke 34";23;16;17;21;.
"Begge kjønn";"83 år";"Uke 35";22;34;25;25;.
"Begge kjønn";"83 år";"Uke 36";24;25;18;33;.
"Begge kjønn";"83 år";"Uke 37";25;24;30;22;.
"Begge kjønn";"83 år";"Uke 38";22;20;30;27;.
"Begge kjønn";"83 år";"Uke 39";20;23;16;27;.
"Begge kjønn";"83 år";"Uke 40";23;14;19;26;.
"Begge kjønn";"83 år";"Uke 41";24;22;31;28;.
"Begge kjønn";"83 år";"Uke 42";19;25;23;33;.
"Begge kjønn";"83 år";"Uke 43";28;16;31;29;.
"Begge kjønn";"83 år";"Uke 44";19;19;20;20;.
"Begge kjønn";"83 år";"Uke 45";31;32;29;46;.
"Begge kjønn";"83 år";"Uke 46";22;19;23;30;.
"Begge kjønn";"83 år";"Uke 47";28;19;20;24;.
"Begge kjønn";"83 år";"Uke 48";24;34;20;26;.
"Begge kjønn";"83 år";"Uke 49";26;22;25;34;.
"Begge kjønn";"83 år";"Uke 50";24;27;28;31;.
"Begge kjønn";"83 år";"Uke 51";35;29;37;32;.
"Begge kjønn";"83 år";"Uke 52";26;28;22;30;.
"Begge kjønn";"83 år";"Uke 53";.;.;24;.;.
"Begge kjønn";"84 år";"Uke 1";28;34;26;31;28
"Begge kjønn";"84 år";"Uke 2";28;27;27;26;37
"Begge kjønn";"84 år";"Uke 3";44;29;25;36;22
"Begge kjønn";"84 år";"Uke 4";28;30;33;28;23
"Begge kjønn";"84 år";"Uke 5";29;29;32;28;37
"Begge kjønn";"84 år";"Uke 6";30;20;23;25;26
"Begge kjønn";"84 år";"Uke 7";29;35;27;26;27
"Begge kjønn";"84 år";"Uke 8";31;24;31;26;22
"Begge kjønn";"84 år";"Uke 9";29;32;24;23;34
"Begge kjønn";"84 år";"Uke 10";31;23;21;21;36
"Begge kjønn";"84 år";"Uke 11";18;33;19;31;33
"Begge kjønn";"84 år";"Uke 12";26;23;33;15;27
"Begge kjønn";"84 år";"Uke 13";20;35;32;26;30
"Begge kjønn";"84 år";"Uke 14";21;30;22;29;27
"Begge kjønn";"84 år";"Uke 15";28;26;27;27;22
"Begge kjønn";"84 år";"Uke 16";26;26;22;20;30
"Begge kjønn";"84 år";"Uke 17";26;36;27;18;35
"Begge kjønn";"84 år";"Uke 18";22;23;30;28;17
"Begge kjønn";"84 år";"Uke 19";19;22;23;32;33
"Begge kjønn";"84 år";"Uke 20";27;17;12;18;23
"Begge kjønn";"84 år";"Uke 21";16;30;17;20;27
"Begge kjønn";"84 år";"Uke 22";11;17;25;20;.
"Begge kjønn";"84 år";"Uke 23";23;22;18;24;.
"Begge kjønn";"84 år";"Uke 24";27;23;25;29;.
"Begge kjønn";"84 år";"Uke 25";21;18;22;24;.
"Begge kjønn";"84 år";"Uke 26";22;19;20;21;.
"Begge kjønn";"84 år";"Uke 27";23;25;26;22;.
"Begge kjønn";"84 år";"Uke 28";20;22;26;23;.
"Begge kjønn";"84 år";"Uke 29";23;17;22;25;.
"Begge kjønn";"84 år";"Uke 30";25;29;21;27;.
"Begge kjønn";"84 år";"Uke 31";25;24;33;25;.
"Begge kjønn";"84 år";"Uke 32";17;25;18;18;.
"Begge kjønn";"84 år";"Uke 33";17;14;12;26;.
"Begge kjønn";"84 år";"Uke 34";29;23;29;27;.
"Begge kjønn";"84 år";"Uke 35";22;24;19;30;.
"Begge kjønn";"84 år";"Uke 36";30;33;22;21;.
"Begge kjønn";"84 år";"Uke 37";17;27;31;27;.
"Begge kjønn";"84 år";"Uke 38";36;23;22;26;.
"Begge kjønn";"84 år";"Uke 39";28;20;15;25;.
"Begge kjønn";"84 år";"Uke 40";19;24;28;21;.
"Begge kjønn";"84 år";"Uke 41";32;24;20;25;.
"Begge kjønn";"84 år";"Uke 42";22;20;27;25;.
"Begge kjønn";"84 år";"Uke 43";22;19;29;31;.
"Begge kjønn";"84 år";"Uke 44";18;28;21;39;.
"Begge kjønn";"84 år";"Uke 45";21;27;26;33;.
"Begge kjønn";"84 år";"Uke 46";30;26;32;23;.
"Begge kjønn";"84 år";"Uke 47";21;19;24;35;.
"Begge kjønn";"84 år";"Uke 48";31;22;35;35;.
"Begge kjønn";"84 år";"Uke 49";31;27;27;33;.
"Begge kjønn";"84 år";"Uke 50";27;22;24;29;.
"Begge kjønn";"84 år";"Uke 51";24;22;26;38;.
"Begge kjønn";"84 år";"Uke 52";23;21;29;40;.
"Begge kjønn";"84 år";"Uke 53";.;.;34;.;.
"Begge kjønn";"85 år";"Uke 1";34;25;30;24;33
"Begge kjønn";"85 år";"Uke 2";26;23;31;30;31
"Begge kjønn";"85 år";"Uke 3";37;39;35;23;39
"Begge kjønn";"85 år";"Uke 4";19;23;20;33;33
"Begge kjønn";"85 år";"Uke 5";37;32;29;30;22
"Begge kjønn";"85 år";"Uke 6";31;27;21;23;33
"Begge kjønn";"85 år";"Uke 7";30;28;27;21;30
"Begge kjønn";"85 år";"Uke 8";42;30;17;23;27
"Begge kjønn";"85 år";"Uke 9";24;27;24;20;38
"Begge kjønn";"85 år";"Uke 10";36;19;27;25;25
"Begge kjønn";"85 år";"Uke 11";19;28;27;23;25
"Begge kjønn";"85 år";"Uke 12";31;26;21;26;43
"Begge kjønn";"85 år";"Uke 13";25;27;30;25;36
"Begge kjønn";"85 år";"Uke 14";22;22;20;28;34
"Begge kjønn";"85 år";"Uke 15";24;15;32;20;31
"Begge kjønn";"85 år";"Uke 16";29;32;30;23;20
"Begge kjønn";"85 år";"Uke 17";23;22;37;20;24
"Begge kjønn";"85 år";"Uke 18";27;21;24;17;23
"Begge kjønn";"85 år";"Uke 19";24;31;26;20;23
"Begge kjønn";"85 år";"Uke 20";26;27;25;23;37
"Begge kjønn";"85 år";"Uke 21";19;37;23;30;28
"Begge kjønn";"85 år";"Uke 22";24;30;25;25;.
"Begge kjønn";"85 år";"Uke 23";22;20;20;14;.
"Begge kjønn";"85 år";"Uke 24";19;20;22;28;.
"Begge kjønn";"85 år";"Uke 25";24;20;28;20;.
"Begge kjønn";"85 år";"Uke 26";27;24;21;16;.
"Begge kjønn";"85 år";"Uke 27";15;21;19;35;.
"Begge kjønn";"85 år";"Uke 28";26;26;24;24;.
"Begge kjønn";"85 år";"Uke 29";24;17;21;27;.
"Begge kjønn";"85 år";"Uke 30";23;16;30;21;.
"Begge kjønn";"85 år";"Uke 31";14;25;18;26;.
"Begge kjønn";"85 år";"Uke 32";17;21;25;23;.
"Begge kjønn";"85 år";"Uke 33";19;28;27;26;.
"Begge kjønn";"85 år";"Uke 34";21;15;25;28;.
"Begge kjønn";"85 år";"Uke 35";23;24;19;24;.
"Begge kjønn";"85 år";"Uke 36";13;19;23;21;.
"Begge kjønn";"85 år";"Uke 37";19;22;25;30;.
"Begge kjønn";"85 år";"Uke 38";28;19;29;14;.
"Begge kjønn";"85 år";"Uke 39";24;29;23;21;.
"Begge kjønn";"85 år";"Uke 40";18;16;32;28;.
"Begge kjønn";"85 år";"Uke 41";19;25;19;21;.
"Begge kjønn";"85 år";"Uke 42";27;37;28;25;.
"Begge kjønn";"85 år";"Uke 43";21;29;27;30;.
"Begge kjønn";"85 år";"Uke 44";31;30;24;30;.
"Begge kjønn";"85 år";"Uke 45";27;28;36;25;.
"Begge kjønn";"85 år";"Uke 46";26;32;24;31;.
"Begge kjønn";"85 år";"Uke 47";20;25;35;41;.
"Begge kjønn";"85 år";"Uke 48";22;28;27;30;.
"Begge kjønn";"85 år";"Uke 49";30;20;30;43;.
"Begge kjønn";"85 år";"Uke 50";27;20;29;26;.
"Begge kjønn";"85 år";"Uke 51";22;24;22;32;.
"Begge kjønn";"85 år";"Uke 52";25;31;35;27;.
"Begge kjønn";"85 år";"Uke 53";.;.;17;.;.
"Begge kjønn";"86 år";"Uke 1";28;30;34;34;36
"Begge kjønn";"86 år";"Uke 2";33;30;23;28;28
"Begge kjønn";"86 år";"Uke 3";29;23;29;26;32
"Begge kjønn";"86 år";"Uke 4";32;25;32;37;29
"Begge kjønn";"86 år";"Uke 5";34;34;18;31;25
"Begge kjønn";"86 år";"Uke 6";23;36;26;39;28
"Begge kjønn";"86 år";"Uke 7";33;36;27;25;29
"Begge kjønn";"86 år";"Uke 8";38;25;27;33;37
"Begge kjønn";"86 år";"Uke 9";40;38;21;26;36
"Begge kjønn";"86 år";"Uke 10";39;31;25;31;27
"Begge kjønn";"86 år";"Uke 11";35;28;20;23;34
"Begge kjønn";"86 år";"Uke 12";26;31;24;26;38
"Begge kjønn";"86 år";"Uke 13";33;31;23;27;22
"Begge kjønn";"86 år";"Uke 14";24;24;40;26;27
"Begge kjønn";"86 år";"Uke 15";34;23;24;38;25
"Begge kjønn";"86 år";"Uke 16";21;21;27;30;23
"Begge kjønn";"86 år";"Uke 17";18;27;22;30;23
"Begge kjønn";"86 år";"Uke 18";26;36;20;27;23
"Begge kjønn";"86 år";"Uke 19";30;23;22;27;23
"Begge kjønn";"86 år";"Uke 20";29;23;19;17;31
"Begge kjønn";"86 år";"Uke 21";20;19;22;18;29
"Begge kjønn";"86 år";"Uke 22";39;31;26;24;.
"Begge kjønn";"86 år";"Uke 23";36;24;22;19;.
"Begge kjønn";"86 år";"Uke 24";27;29;30;22;.
"Begge kjønn";"86 år";"Uke 25";19;19;25;24;.
"Begge kjønn";"86 år";"Uke 26";28;20;24;19;.
"Begge kjønn";"86 år";"Uke 27";21;24;15;24;.
"Begge kjønn";"86 år";"Uke 28";18;36;28;19;.
"Begge kjønn";"86 år";"Uke 29";27;21;18;13;.
"Begge kjønn";"86 år";"Uke 30";30;21;34;17;.
"Begge kjønn";"86 år";"Uke 31";24;20;19;23;.
"Begge kjønn";"86 år";"Uke 32";22;23;12;23;.
"Begge kjønn";"86 år";"Uke 33";28;23;24;20;.
"Begge kjønn";"86 år";"Uke 34";26;18;17;23;.
"Begge kjønn";"86 år";"Uke 35";26;34;22;26;.
"Begge kjønn";"86 år";"Uke 36";29;26;17;24;.
"Begge kjønn";"86 år";"Uke 37";33;20;20;36;.
"Begge kjønn";"86 år";"Uke 38";31;21;29;28;.
"Begge kjønn";"86 år";"Uke 39";24;27;22;28;.
"Begge kjønn";"86 år";"Uke 40";19;14;27;21;.
"Begge kjønn";"86 år";"Uke 41";20;26;23;35;.
"Begge kjønn";"86 år";"Uke 42";23;31;17;33;.
"Begge kjønn";"86 år";"Uke 43";26;16;20;31;.
"Begge kjønn";"86 år";"Uke 44";38;23;21;45;.
"Begge kjønn";"86 år";"Uke 45";26;27;25;45;.
"Begge kjønn";"86 år";"Uke 46";26;30;25;22;.
"Begge kjønn";"86 år";"Uke 47";22;31;40;36;.
"Begge kjønn";"86 år";"Uke 48";38;27;29;25;.
"Begge kjønn";"86 år";"Uke 49";28;26;29;33;.
"Begge kjønn";"86 år";"Uke 50";29;36;31;29;.
"Begge kjønn";"86 år";"Uke 51";34;32;32;35;.
"Begge kjønn";"86 år";"Uke 52";30;29;29;34;.
"Begge kjønn";"86 år";"Uke 53";.;.;24;.;.
"Begge kjønn";"87 år";"Uke 1";48;27;32;29;33
"Begge kjønn";"87 år";"Uke 2";29;33;32;27;31
"Begge kjønn";"87 år";"Uke 3";34;28;35;19;27
"Begge kjønn";"87 år";"Uke 4";36;32;32;36;30
"Begge kjønn";"87 år";"Uke 5";35;28;32;20;26
"Begge kjønn";"87 år";"Uke 6";28;25;28;39;32
"Begge kjønn";"87 år";"Uke 7";34;36;33;28;36
"Begge kjønn";"87 år";"Uke 8";32;35;27;26;37
"Begge kjønn";"87 år";"Uke 9";21;35;25;24;28
"Begge kjønn";"87 år";"Uke 10";38;28;26;21;21
"Begge kjønn";"87 år";"Uke 11";38;35;36;35;36
"Begge kjønn";"87 år";"Uke 12";45;36;31;24;24
"Begge kjønn";"87 år";"Uke 13";39;27;25;24;34
"Begge kjønn";"87 år";"Uke 14";31;17;32;33;33
"Begge kjønn";"87 år";"Uke 15";28;36;20;22;22
"Begge kjønn";"87 år";"Uke 16";24;23;26;32;31
"Begge kjønn";"87 år";"Uke 17";38;30;18;28;32
"Begge kjønn";"87 år";"Uke 18";35;28;20;25;28
"Begge kjønn";"87 år";"Uke 19";27;34;27;18;27
"Begge kjønn";"87 år";"Uke 20";19;31;27;20;26
"Begge kjønn";"87 år";"Uke 21";21;30;30;27;17
"Begge kjønn";"87 år";"Uke 22";33;27;17;27;.
"Begge kjønn";"87 år";"Uke 23";24;22;23;37;.
"Begge kjønn";"87 år";"Uke 24";23;26;27;18;.
"Begge kjønn";"87 år";"Uke 25";36;32;20;31;.
"Begge kjønn";"87 år";"Uke 26";33;23;19;23;.
"Begge kjønn";"87 år";"Uke 27";29;22;28;30;.
"Begge kjønn";"87 år";"Uke 28";29;26;20;37;.
"Begge kjønn";"87 år";"Uke 29";20;24;29;27;.
"Begge kjønn";"87 år";"Uke 30";25;31;25;26;.
"Begge kjønn";"87 år";"Uke 31";17;20;25;21;.
"Begge kjønn";"87 år";"Uke 32";31;26;18;36;.
"Begge kjønn";"87 år";"Uke 33";20;28;25;25;.
"Begge kjønn";"87 år";"Uke 34";25;23;27;32;.
"Begge kjønn";"87 år";"Uke 35";34;24;27;26;.
"Begge kjønn";"87 år";"Uke 36";17;31;20;30;.
"Begge kjønn";"87 år";"Uke 37";21;28;29;36;.
"Begge kjønn";"87 år";"Uke 38";31;26;26;28;.
"Begge kjønn";"87 år";"Uke 39";32;33;27;27;.
"Begge kjønn";"87 år";"Uke 40";20;25;35;29;.
"Begge kjønn";"87 år";"Uke 41";27;26;35;30;.
"Begge kjønn";"87 år";"Uke 42";26;37;20;35;.
"Begge kjønn";"87 år";"Uke 43";24;30;19;26;.
"Begge kjønn";"87 år";"Uke 44";35;20;24;34;.
"Begge kjønn";"87 år";"Uke 45";19;27;21;33;.
"Begge kjønn";"87 år";"Uke 46";34;36;22;32;.
"Begge kjønn";"87 år";"Uke 47";28;40;33;38;.
"Begge kjønn";"87 år";"Uke 48";33;39;32;36;.
"Begge kjønn";"87 år";"Uke 49";28;29;34;31;.
"Begge kjønn";"87 år";"Uke 50";34;34;23;29;.
"Begge kjønn";"87 år";"Uke 51";36;30;37;45;.
"Begge kjønn";"87 år";"Uke 52";34;35;37;29;.
"Begge kjønn";"87 år";"Uke 53";.;.;32;.;.
"Begge kjønn";"88 år";"Uke 1";38;32;34;27;34
"Begge kjønn";"88 år";"Uke 2";46;48;34;34;25
"Begge kjønn";"88 år";"Uke 3";37;35;30;37;35
"Begge kjønn";"88 år";"Uke 4";31;35;30;33;31
"Begge kjønn";"88 år";"Uke 5";28;34;32;27;31
"Begge kjønn";"88 år";"Uke 6";49;36;28;28;39
"Begge kjønn";"88 år";"Uke 7";32;36;29;28;36
"Begge kjønn";"88 år";"Uke 8";29;41;33;31;33
"Begge kjønn";"88 år";"Uke 9";39;24;41;32;39
"Begge kjønn";"88 år";"Uke 10";35;30;34;31;43
"Begge kjønn";"88 år";"Uke 11";37;32;39;23;36
"Begge kjønn";"88 år";"Uke 12";41;33;29;30;30
"Begge kjønn";"88 år";"Uke 13";28;35;32;20;40
"Begge kjønn";"88 år";"Uke 14";24;32;32;29;26
"Begge kjønn";"88 år";"Uke 15";35;40;30;26;37
"Begge kjønn";"88 år";"Uke 16";28;22;36;34;29
"Begge kjønn";"88 år";"Uke 17";31;38;25;25;27
"Begge kjønn";"88 år";"Uke 18";20;23;21;23;33
"Begge kjønn";"88 år";"Uke 19";32;19;28;27;27
"Begge kjønn";"88 år";"Uke 20";24;33;31;23;27
"Begge kjønn";"88 år";"Uke 21";32;22;32;23;24
"Begge kjønn";"88 år";"Uke 22";27;35;20;31;.
"Begge kjønn";"88 år";"Uke 23";26;26;27;26;.
"Begge kjønn";"88 år";"Uke 24";27;24;36;37;.
"Begge kjønn";"88 år";"Uke 25";27;28;26;17;.
"Begge kjønn";"88 år";"Uke 26";30;37;22;36;.
"Begge kjønn";"88 år";"Uke 27";26;32;39;21;.
"Begge kjønn";"88 år";"Uke 28";29;24;20;31;.
"Begge kjønn";"88 år";"Uke 29";22;20;28;33;.
"Begge kjønn";"88 år";"Uke 30";20;30;28;26;.
"Begge kjønn";"88 år";"Uke 31";22;27;34;23;.
"Begge kjønn";"88 år";"Uke 32";20;20;32;31;.
"Begge kjønn";"88 år";"Uke 33";20;28;21;35;.
"Begge kjønn";"88 år";"Uke 34";24;33;39;19;.
"Begge kjønn";"88 år";"Uke 35";24;25;31;25;.
"Begge kjønn";"88 år";"Uke 36";29;28;28;27;.
"Begge kjønn";"88 år";"Uke 37";33;31;19;33;.
"Begge kjønn";"88 år";"Uke 38";31;39;19;37;.
"Begge kjønn";"88 år";"Uke 39";28;33;27;31;.
"Begge kjønn";"88 år";"Uke 40";29;31;29;30;.
"Begge kjønn";"88 år";"Uke 41";30;26;22;25;.
"Begge kjønn";"88 år";"Uke 42";30;30;27;26;.
"Begge kjønn";"88 år";"Uke 43";28;39;26;33;.
"Begge kjønn";"88 år";"Uke 44";34;34;24;29;.
"Begge kjønn";"88 år";"Uke 45";27;23;25;39;.
"Begge kjønn";"88 år";"Uke 46";26;31;25;24;.
"Begge kjønn";"88 år";"Uke 47";33;28;26;33;.
"Begge kjønn";"88 år";"Uke 48";26;22;32;34;.
"Begge kjønn";"88 år";"Uke 49";26;29;26;38;.
"Begge kjønn";"88 år";"Uke 50";33;25;28;43;.
"Begge kjønn";"88 år";"Uke 51";26;34;27;42;.
"Begge kjønn";"88 år";"Uke 52";43;31;32;40;.
"Begge kjønn";"88 år";"Uke 53";.;.;40;.;.
"Begge kjønn";"89 år";"Uke 1";44;36;36;23;33
"Begge kjønn";"89 år";"Uke 2";36;15;47;36;39
"Begge kjønn";"89 år";"Uke 3";54;25;49;32;24
"Begge kjønn";"89 år";"Uke 4";43;33;36;31;28
"Begge kjønn";"89 år";"Uke 5";45;29;36;24;35
"Begge kjønn";"89 år";"Uke 6";32;26;34;30;25
"Begge kjønn";"89 år";"Uke 7";38;35;37;35;44
"Begge kjønn";"89 år";"Uke 8";37;28;43;34;40
"Begge kjønn";"89 år";"Uke 9";41;27;29;24;49
"Begge kjønn";"89 år";"Uke 10";33;27;27;28;34
"Begge kjønn";"89 år";"Uke 11";42;34;35;29;38
"Begge kjønn";"89 år";"Uke 12";36;29;26;27;47
"Begge kjønn";"89 år";"Uke 13";37;27;33;19;29
"Begge kjønn";"89 år";"Uke 14";28;25;30;31;26
"Begge kjønn";"89 år";"Uke 15";26;29;38;28;28
"Begge kjønn";"89 år";"Uke 16";37;31;34;26;30
"Begge kjønn";"89 år";"Uke 17";26;27;37;41;35
"Begge kjønn";"89 år";"Uke 18";24;17;19;24;34
"Begge kjønn";"89 år";"Uke 19";19;29;30;22;23
"Begge kjønn";"89 år";"Uke 20";26;18;29;26;37
"Begge kjønn";"89 år";"Uke 21";43;32;30;37;32
"Begge kjønn";"89 år";"Uke 22";28;20;32;22;.
"Begge kjønn";"89 år";"Uke 23";27;20;21;24;.
"Begge kjønn";"89 år";"Uke 24";30;31;28;22;.
"Begge kjønn";"89 år";"Uke 25";30;35;21;26;.
"Begge kjønn";"89 år";"Uke 26";18;21;22;20;.
"Begge kjønn";"89 år";"Uke 27";32;34;19;25;.
"Begge kjønn";"89 år";"Uke 28";36;24;17;38;.
"Begge kjønn";"89 år";"Uke 29";26;22;34;25;.
"Begge kjønn";"89 år";"Uke 30";31;26;29;23;.
"Begge kjønn";"89 år";"Uke 31";16;21;21;40;.
"Begge kjønn";"89 år";"Uke 32";24;28;29;19;.
"Begge kjønn";"89 år";"Uke 33";27;25;32;29;.
"Begge kjønn";"89 år";"Uke 34";35;28;37;19;.
"Begge kjønn";"89 år";"Uke 35";18;27;22;30;.
"Begge kjønn";"89 år";"Uke 36";26;24;27;34;.
"Begge kjønn";"89 år";"Uke 37";31;32;22;29;.
"Begge kjønn";"89 år";"Uke 38";29;22;32;35;.
"Begge kjønn";"89 år";"Uke 39";23;31;26;46;.
"Begge kjønn";"89 år";"Uke 40";14;19;28;32;.
"Begge kjønn";"89 år";"Uke 41";20;32;31;33;.
"Begge kjønn";"89 år";"Uke 42";23;19;31;36;.
"Begge kjønn";"89 år";"Uke 43";23;26;24;33;.
"Begge kjønn";"89 år";"Uke 44";28;27;31;29;.
"Begge kjønn";"89 år";"Uke 45";32;36;29;34;.
"Begge kjønn";"89 år";"Uke 46";28;28;30;29;.
"Begge kjønn";"89 år";"Uke 47";29;27;28;33;.
"Begge kjønn";"89 år";"Uke 48";34;28;27;44;.
"Begge kjønn";"89 år";"Uke 49";31;33;33;43;.
"Begge kjønn";"89 år";"Uke 50";35;34;41;43;.
"Begge kjønn";"89 år";"Uke 51";26;40;21;38;.
"Begge kjønn";"89 år";"Uke 52";29;23;35;37;.
"Begge kjønn";"89 år";"Uke 53";.;.;38;.;.
"Begge kjønn";"90 år";"Uke 1";34;39;30;30;37
"Begge kjønn";"90 år";"Uke 2";26;30;31;32;36
"Begge kjønn";"90 år";"Uke 3";38;47;40;20;37
"Begge kjønn";"90 år";"Uke 4";26;29;40;28;34
"Begge kjønn";"90 år";"Uke 5";37;30;26;31;30
"Begge kjønn";"90 år";"Uke 6";41;40;26;35;36
"Begge kjønn";"90 år";"Uke 7";37;32;33;25;38
"Begge kjønn";"90 år";"Uke 8";26;35;19;38;43
"Begge kjønn";"90 år";"Uke 9";20;25;29;18;33
"Begge kjønn";"90 år";"Uke 10";43;21;26;31;26
"Begge kjønn";"90 år";"Uke 11";39;34;22;26;41
"Begge kjønn";"90 år";"Uke 12";35;26;25;30;36
"Begge kjønn";"90 år";"Uke 13";21;23;39;23;31
"Begge kjønn";"90 år";"Uke 14";24;23;36;25;39
"Begge kjønn";"90 år";"Uke 15";29;22;33;21;28
"Begge kjønn";"90 år";"Uke 16";23;42;27;34;39
"Begge kjønn";"90 år";"Uke 17";32;27;25;24;20
"Begge kjønn";"90 år";"Uke 18";29;31;30;29;30
"Begge kjønn";"90 år";"Uke 19";33;28;16;25;37
"Begge kjønn";"90 år";"Uke 20";20;28;31;27;36
"Begge kjønn";"90 år";"Uke 21";25;25;30;31;25
"Begge kjønn";"90 år";"Uke 22";29;34;17;25;.
"Begge kjønn";"90 år";"Uke 23";27;30;19;23;.
"Begge kjønn";"90 år";"Uke 24";30;24;29;22;.
"Begge kjønn";"90 år";"Uke 25";26;29;35;26;.
"Begge kjønn";"90 år";"Uke 26";22;31;25;26;.
"Begge kjønn";"90 år";"Uke 27";38;19;26;34;.
"Begge kjønn";"90 år";"Uke 28";28;24;33;21;.
"Begge kjønn";"90 år";"Uke 29";30;26;26;27;.
"Begge kjønn";"90 år";"Uke 30";33;25;19;25;.
"Begge kjønn";"90 år";"Uke 31";27;21;30;32;.
"Begge kjønn";"90 år";"Uke 32";19;26;33;31;.
"Begge kjønn";"90 år";"Uke 33";31;28;20;30;.
"Begge kjønn";"90 år";"Uke 34";32;30;28;29;.
"Begge kjønn";"90 år";"Uke 35";27;32;21;32;.
"Begge kjønn";"90 år";"Uke 36";21;24;31;28;.
"Begge kjønn";"90 år";"Uke 37";28;27;29;29;.
"Begge kjønn";"90 år";"Uke 38";32;23;30;31;.
"Begge kjønn";"90 år";"Uke 39";25;23;30;30;.
"Begge kjønn";"90 år";"Uke 40";27;23;23;32;.
"Begge kjønn";"90 år";"Uke 41";23;17;23;29;.
"Begge kjønn";"90 år";"Uke 42";17;22;33;24;.
"Begge kjønn";"90 år";"Uke 43";21;33;30;37;.
"Begge kjønn";"90 år";"Uke 44";25;32;35;22;.
"Begge kjønn";"90 år";"Uke 45";32;24;29;31;.
"Begge kjønn";"90 år";"Uke 46";27;46;33;31;.
"Begge kjønn";"90 år";"Uke 47";21;28;27;34;.
"Begge kjønn";"90 år";"Uke 48";29;24;27;43;.
"Begge kjønn";"90 år";"Uke 49";33;26;30;32;.
"Begge kjønn";"90 år";"Uke 50";28;23;29;50;.
"Begge kjønn";"90 år";"Uke 51";35;17;28;38;.
"Begge kjønn";"90 år";"Uke 52";25;42;29;30;.
"Begge kjønn";"90 år";"Uke 53";.;.;28;.;.
"Begge kjønn";"91 år";"Uke 1";29;41;37;30;36
"Begge kjønn";"91 år";"Uke 2";27;28;34;25;33
"Begge kjønn";"91 år";"Uke 3";31;27;31;28;23
"Begge kjønn";"91 år";"Uke 4";26;24;33;19;41
"Begge kjønn";"91 år";"Uke 5";33;37;31;30;29
"Begge kjønn";"91 år";"Uke 6";33;34;27;21;28
"Begge kjønn";"91 år";"Uke 7";36;37;36;29;33
"Begge kjønn";"91 år";"Uke 8";37;34;14;32;41
"Begge kjønn";"91 år";"Uke 9";37;38;17;26;33
"Begge kjønn";"91 år";"Uke 10";29;29;27;23;24
"Begge kjønn";"91 år";"Uke 11";26;31;34;27;55
"Begge kjønn";"91 år";"Uke 12";34;25;24;26;30
"Begge kjønn";"91 år";"Uke 13";44;24;28;28;36
"Begge kjønn";"91 år";"Uke 14";29;32;26;30;38
"Begge kjønn";"91 år";"Uke 15";28;30;32;23;31
"Begge kjønn";"91 år";"Uke 16";40;22;39;21;35
"Begge kjønn";"91 år";"Uke 17";27;29;24;29;30
"Begge kjønn";"91 år";"Uke 18";30;26;33;20;30
"Begge kjønn";"91 år";"Uke 19";14;28;17;21;30
"Begge kjønn";"91 år";"Uke 20";24;25;20;39;24
"Begge kjønn";"91 år";"Uke 21";18;20;21;27;28
"Begge kjønn";"91 år";"Uke 22";20;22;21;22;.
"Begge kjønn";"91 år";"Uke 23";25;23;21;19;.
"Begge kjønn";"91 år";"Uke 24";19;28;19;22;.
"Begge kjønn";"91 år";"Uke 25";29;23;34;21;.
"Begge kjønn";"91 år";"Uke 26";28;30;17;21;.
"Begge kjønn";"91 år";"Uke 27";32;25;27;28;.
